chunk_id,doc_id,chunk_type,asset_type,fault_type,slot_key,content,keywords,source_ref,priority,version
C000001,TL_PLAN_20260411,slot_fact,输电线,外力破坏故障,fault_object,外力破坏故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|外力破坏故障|fault_object,关系_links.xlsx,4,v1_20260411
C000002,TL_PLAN_20260411,slot_fact,输电线,污闪故障,fault_object,污闪故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|污闪故障|fault_object,关系_links.xlsx,4,v1_20260411
C000003,TL_PLAN_20260411,slot_fact,输电线,舞动故障,fault_object,舞动故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|舞动故障|fault_object,关系_links.xlsx,4,v1_20260411
C000004,TL_PLAN_20260411,slot_fact,输电线,覆冰故障,fault_object,覆冰故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|覆冰故障|fault_object,关系_links.xlsx,4,v1_20260411
C000005,TL_PLAN_20260411,slot_fact,输电线,雷击闪络故障,fault_object,雷击闪络故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|雷击闪络故障|fault_object,关系_links.xlsx,4,v1_20260411
C000006,TL_PLAN_20260411,slot_fact,输电线,风害故障,fault_object,风害故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|风害故障|fault_object,关系_links.xlsx,4,v1_20260411
C000007,TL_PLAN_20260411,slot_fact,输电线,鸟害故障,fault_object,鸟害故障可能发生于输电线路本体及导地线、绝缘子、金具、接头、杆塔与通道附属设施。,输电线|鸟害故障|fault_object,关系_links.xlsx,4,v1_20260411
C000008,TL_PLAN_20260411,slot_fact,输电线,覆冰故障,fault_object,输电线路可能发生覆冰故障。 相关定义：输电线路：依据第一至第七层级汇总稿形成的输电线路故障知识图谱实体。?覆冰故障：输电线路因覆冰导致机械性能和电气性能下降的一级故障大类。?,输电线|覆冰故障|fault_object,关系_links.xlsx,3,v1_20260411
C000009,TL_PLAN_20260411,slot_fact,输电线,舞动故障,fault_object,输电线路可能发生舞动故障。 相关定义：输电线路：依据第一至第七层级汇总稿形成的输电线路故障知识图谱实体。?舞动故障：输电线路导线舞动引发的机械和电气故障大类。?,输电线|舞动故障|fault_object,关系_links.xlsx,3,v1_20260411
C000010,TL_PLAN_20260411,slot_fact,输电线,雷击闪络故障,fault_object,输电线路可能发生雷击闪络故障。 相关定义：输电线路：依据第一至第七层级汇总稿形成的输电线路故障知识图谱实体。?雷击闪络故障：输电线路受雷电过电压冲击引发闪络的一级故障大类。?,输电线|雷击闪络故障|fault_object,关系_links.xlsx,3,v1_20260411
C000011,TL_PLAN_20260411,slot_fact,输电线,外力破坏故障,fault_object,输电线路可能发生外力破坏故障。 相关定义：输电线路：依据第一至第七层级汇总稿形成的输电线路故障知识图谱实体。?外力破坏故障：输电线路受外部人为或环境作用破坏形成的一级故障大类。?,输电线|外力破坏故障|fault_object,关系_links.xlsx,3,v1_20260411
