case_id	import_file	source_file	source_section	case_title
case_0135	case_0135__(一)大风造成杆塔倾倒故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第一节 大风造成杆塔故障	（一）大风造成杆塔倾倒故障
case_0136	case_0136__一、洪水造成杆塔倾倒故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第二节 洪水冲刷故障	一、洪水造成杆塔倾倒故障
case_0137	case_0137__二、洪水造成杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第二节 洪水冲刷故障	二、洪水造成杆塔倾斜故障
case_0138	case_0138__二、山体滑坡造成杆塔倾斜断线故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第三节 山体滑坡故障	二、山体滑坡造成杆塔倾斜断线故障
case_0139	case_0139__(一)基础下沉造成杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第四节 基础下沉故障	（一）基础下沉造成杆塔倾斜故障
case_0140	case_0140__二、基础下沉造成杆塔移位倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第四节 基础下沉故障	二、基础下沉造成杆塔移位倾斜故障
case_0141	case_0141__一、拉线被盗引起杆塔倾倒故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	一、拉线被盗引起杆塔倾倒故障
case_0142	case_0142__二、拉线被盗引起杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	二、拉线被盗引起杆塔倾斜故障
case_0143	case_0143__三、拉线断线反弹至导线引起线路跳闸故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第五节 拉线被盗割故障	三、拉线断线反弹至导线引起线路跳闸故障
case_0144	case_0144__一、构件丢失引起杆塔倾倒故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第六节 构件丢失故障	一、构件丢失引起杆塔倾倒故障
case_0145	case_0145__(二)地脚螺栓破坏引起杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第六节 构件丢失故障	（二）地脚螺栓破坏引起杆塔倾斜故障
case_0146	case_0146__(一)外力冲撞(撞击)拉线(棒)起杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第七节 外力冲撞（撞击）故障	（一）外力冲撞（撞击）拉线（棒）起杆塔倾斜故障
case_0147	case_0147__一、杆塔设计强度不足引起杆塔变形故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第八节 设计缺陷案例	一、杆塔设计强度不足引起杆塔变形故障
case_0148	case_0148__二、特殊地质设计不当引起杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第八节 设计缺陷案例	二、特殊地质设计不当引起杆塔倾斜故障
case_0149	case_0149__一、线路插入式角钢规格错误造成基础故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第九节 构件制造质量不良案例	一、线路插入式角钢规格错误造成基础故障
case_0150	case_0150__二、钢管塔法兰盘焊接质量引起倒塔故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第九节 构件制造质量不良案例	二、钢管塔法兰盘焊接质量引起倒塔故障
case_0151	case_0151__一、非标材质引起杆塔倾斜故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第十节 材质不佳案例	一、非标材质引起杆塔倾斜故障
case_0152	case_0152__二、混凝土选材不当造成基础破裂故障.md	输电线路典型故障案例分析及预防_第一章_杆塔及基础.md	第十节 材质不佳案例	二、混凝土选材不当造成基础破裂故障
