case_id	import_file	source_file	source_section	case_title
case_0001	case_0001__一、220kV强油风冷变压器1#冷却器潜油泵异常.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	一、220kV强油风冷变压器1#冷却器潜油泵异常
case_0002	case_0002__二、110kV_主变压器有载调压装置轴套断裂.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	二、110kV 主变压器有载调压装置轴套断裂
case_0003	case_0003__三、110kV_主变压器本体吸湿器硅胶受潮.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	三、110kV 主变压器本体吸湿器硅胶受潮
case_0004	case_0004__四、110kV_主变压器高压侧三相套管锈蚀严重.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	四、110kV 主变压器高压侧三相套管锈蚀严重
case_0005	case_0005__五、110kV_主变压器测温装置损坏.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	五、110kV 主变压器测温装置损坏
case_0006	case_0006__六、220kV_强油风冷变压器油温过高.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	六、220kV 强油风冷变压器油温过高
case_0007	case_0007__七、主变压器本体油箱外部螺栓发热.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	七、主变压器本体油箱外部螺栓发热
case_0008	case_0008__八、主变压器轻瓦斯动作报警.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	八、主变压器轻瓦斯动作报警
case_0009	case_0009__九、站用变压器低压侧中性线发热.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	九、站用变压器低压侧中性线发热
case_0010	case_0010__十、强油风冷变压器冷却器油流继电器挡板断裂.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	十、强油风冷变压器冷却器油流继电器挡板断裂
case_0011	case_0011__一、110kV_主变压器有载分接开关故障引起重瓦斯跳闸.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	一、110kV 主变压器有载分接开关故障引起重瓦斯跳闸
case_0012	case_0012__二、110kV_主变压器_10kV_侧套管污闪引起差动跳闸.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	二、110kV 主变压器 10kV 侧套管污闪引起差动跳闸
case_0013	case_0013__三、主变压器_110kV_侧中性点隔离开关烧坏.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	三、主变压器 110kV 侧中性点隔离开关烧坏
case_0014	case_0014__四、110kV_主变压器有载瓦斯接地跳闸.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	四、110kV 主变压器有载瓦斯接地跳闸
case_0015	case_0015__五、主变压器_35kV_侧套管接地差动保护动作.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	五、主变压器 35kV 侧套管接地差动保护动作
case_0051	case_0051__一、变压器本体放油阀渗油故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	一、变压器本体放油阀渗油故障
case_0052	case_0052__二、主变二次套管接点温度过热故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	二、主变二次套管接点温度过热故障
case_0053	case_0053__三、主变重瓦斯动作故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	三、主变重瓦斯动作故障
case_0054	case_0054__六、主变故障跳闸受到突发短路冲击，导致内部绝缘故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	六、主变故障跳闸受到突发短路冲击，导致内部绝缘故障
case_0055	case_0055__七、主变有载重瓦斯跳闸故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第四节　变压器事故及异常处理实例	七、主变有载重瓦斯跳闸故障
case_0056	case_0056__八、变压器_10kV_套管裂纹导致渗油及轻瓦斯频发故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	八、变压器 10kV 套管裂纹导致渗油及轻瓦斯频发故障
case_0057	case_0057__九、主变短路冲击损坏故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	九、主变短路冲击损坏故障
case_0058	case_0058__十、主变低油位跳闸故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十、主变低油位跳闸故障
case_0059	case_0059__十一、套管升高座法兰螺栓过热故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十一、套管升高座法兰螺栓过热故障
case_0060	case_0060__十二、本体重瓦斯报警故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十二、本体重瓦斯报警故障
case_0061	case_0061__十五、2号主变重瓦斯动作跳闸故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十五、2号主变重瓦斯动作跳闸故障
case_0062	case_0062__十六、主变一次套管C相接线板过热故障.md	变电设备故障典型案例分析与预防措施_第二章_变压器运行异常及事故处理.md	第三章 变压器运行异常及事故处理	十六、主变一次套管C相接线板过热故障
case_0063	case_0063__1.1_某_750kV_变电站_750kV_电抗器呼吸器溢油故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.1 某 750kV 变电站 750kV 电抗器呼吸器溢油故障分析
case_0064	case_0064__1.2_某换流变电站极Ⅱ换流变压器充电导致极Ⅰ闭锁故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.2 某换流变电站极Ⅱ换流变压器充电导致极Ⅰ闭锁故障分析
case_0065	case_0065__1.3_某换流站_750kV_变压器压力释放动作故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.3 某换流站 750kV 变压器压力释放动作故障分析
case_0066	case_0066__1.4_某750kV变电站750kV_1号主变油色谱异常故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.4 某750kV变电站750kV 1号主变油色谱异常故障分析
case_0067	case_0067__1.5_某_330kV_变电站_1_号主变风冷故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.5 某 330kV 变电站 1 号主变风冷故障分析
case_0068	case_0068__1.6_330kV_变电站_1_号主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.6 330kV 变电站 1 号主变跳闸故障分析
case_0069	case_0069__1.7_某330kV变电站30519某线及1号主变跳闸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.7 某330kV变电站30519某线及1号主变跳闸故障分析
case_0070	case_0070__1.8_某220kV变电站220kV主变轻瓦斯故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.8 某220kV变电站220kV主变轻瓦斯故障分析
case_0071	case_0071__1.9_某_220kV_变电站主变套管受潮导致爆炸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.9 某 220kV 变电站主变套管受潮导致爆炸故障分析
case_0072	case_0072__1.10_某_110kV_变电站套管铝质导电杆断裂故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.10 某 110kV 变电站套管铝质导电杆断裂故障分析
case_0073	case_0073__1.11_某110kV变电站主变套管内漏故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.11 某110kV变电站主变套管内漏故障分析
case_0074	case_0074__1.12_某_110kV_变电站主变套管爆炸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.12 某 110kV 变电站主变套管爆炸故障分析
case_0075	case_0075__1.13_某_110kV_变电站主变套管末屏端子内部放电故障.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.13 某 110kV 变电站主变套管末屏端子内部放电故障
case_0076	case_0076__1.14_某_110kV_变电站主变套管密封圈老化导致爆炸故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.14 某 110kV 变电站主变套管密封圈老化导致爆炸故障分析
case_0077	case_0077__1.15_某_110kV_变电站主变内部发热导致总烃含量异常故障分析.md	电网设备故障典型案例_第1章_变压器（高压电抗器）故障典型案例.md		1.15 某 110kV 变电站主变内部发热导致总烃含量异常故障分析
