action_id,asset_type,fault_type,phase,action_text,safety_note,action_order
A00001,断路器,合分闸操作故障,先期控制,立即确认合分闸操作故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00002,断路器,合分闸操作故障,隔离处置,按倒闸操作票执行设备隔离，防止合分闸操作故障进一步扩展。,双人复核关键开关状态并记录。,2
A00003,断路器,合分闸操作故障,抢修恢复,组织抢修组处理合分闸操作故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00004,断路器,合分闸操作故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证合分闸操作故障是否消除。,监测期间保留应急队伍待命。,4
A00005,断路器,合分闸操作故障,复盘改进,完成合分闸操作故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00006,断路器,导电回路与开断故障,先期控制,立即确认导电回路与开断故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00007,断路器,导电回路与开断故障,隔离处置,按倒闸操作票执行设备隔离，防止导电回路与开断故障进一步扩展。,双人复核关键开关状态并记录。,2
A00008,断路器,导电回路与开断故障,抢修恢复,组织抢修组处理导电回路与开断故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00009,断路器,导电回路与开断故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证导电回路与开断故障是否消除。,监测期间保留应急队伍待命。,4
A00010,断路器,导电回路与开断故障,复盘改进,完成导电回路与开断故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00011,断路器,操作能源与控制回路故障,先期控制,立即确认操作能源与控制回路故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00012,断路器,操作能源与控制回路故障,隔离处置,按倒闸操作票执行设备隔离，防止操作能源与控制回路故障进一步扩展。,双人复核关键开关状态并记录。,2
A00013,断路器,操作能源与控制回路故障,抢修恢复,组织抢修组处理操作能源与控制回路故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00014,断路器,操作能源与控制回路故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证操作能源与控制回路故障是否消除。,监测期间保留应急队伍待命。,4
A00015,断路器,操作能源与控制回路故障,复盘改进,完成操作能源与控制回路故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00016,断路器,操动机构与机械传动故障,先期控制,立即确认操动机构与机械传动故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00017,断路器,操动机构与机械传动故障,隔离处置,按倒闸操作票执行设备隔离，防止操动机构与机械传动故障进一步扩展。,双人复核关键开关状态并记录。,2
A00018,断路器,操动机构与机械传动故障,抢修恢复,组织抢修组处理操动机构与机械传动故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00019,断路器,操动机构与机械传动故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证操动机构与机械传动故障是否消除。,监测期间保留应急队伍待命。,4
A00020,断路器,操动机构与机械传动故障,复盘改进,完成操动机构与机械传动故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00021,断路器,本体绝缘与支撑结构故障,先期控制,立即确认本体绝缘与支撑结构故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00022,断路器,本体绝缘与支撑结构故障,隔离处置,按倒闸操作票执行设备隔离，防止本体绝缘与支撑结构故障进一步扩展。,双人复核关键开关状态并记录。,2
A00023,断路器,本体绝缘与支撑结构故障,抢修恢复,组织抢修组处理本体绝缘与支撑结构故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00024,断路器,本体绝缘与支撑结构故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证本体绝缘与支撑结构故障是否消除。,监测期间保留应急队伍待命。,4
A00025,断路器,本体绝缘与支撑结构故障,复盘改进,完成本体绝缘与支撑结构故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00026,断路器,灭弧与介质状态故障,先期控制,立即确认灭弧与介质状态故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00027,断路器,灭弧与介质状态故障,隔离处置,按倒闸操作票执行设备隔离，防止灭弧与介质状态故障进一步扩展。,双人复核关键开关状态并记录。,2
A00028,断路器,灭弧与介质状态故障,抢修恢复,组织抢修组处理灭弧与介质状态故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00029,断路器,灭弧与介质状态故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证灭弧与介质状态故障是否消除。,监测期间保留应急队伍待命。,4
A00030,断路器,灭弧与介质状态故障,复盘改进,完成灭弧与介质状态故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
A00031,断路器,继电保护与测量二次回路故障,先期控制,立即确认继电保护与测量二次回路故障影响范围，隔离故障点并设置现场警戒。,执行停电与验电流程，严禁带电误操作。,1
A00032,断路器,继电保护与测量二次回路故障,隔离处置,按倒闸操作票执行设备隔离，防止继电保护与测量二次回路故障进一步扩展。,双人复核关键开关状态并记录。,2
A00033,断路器,继电保护与测量二次回路故障,抢修恢复,组织抢修组处理继电保护与测量二次回路故障直接缺陷，恢复关键设备最小可运行能力。,优先处理可能引发人身风险的缺陷。,3
A00034,断路器,继电保护与测量二次回路故障,监测验证,恢复后连续监测温升、绝缘、动作信号，验证继电保护与测量二次回路故障是否消除。,监测期间保留应急队伍待命。,4
A00035,断路器,继电保护与测量二次回路故障,复盘改进,完成继电保护与测量二次回路故障处置复盘，更新作业指导书和应急物资清单。,形成闭环台账并跟踪整改期限。,5
