case_id	output_file	source_file	source_section	case_title
case_0001	case_0001.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	一、220kV强油风冷变压器1#冷却器潜油泵异常
case_0002	case_0002.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	二、110kV 主变压器有载调压装置轴套断裂
case_0003	case_0003.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	三、110kV 主变压器本体吸湿器硅胶受潮
case_0004	case_0004.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	四、110kV 主变压器高压侧三相套管锈蚀严重
case_0005	case_0005.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	五、110kV 主变压器测温装置损坏
case_0006	case_0006.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	六、220kV 强油风冷变压器油温过高
case_0007	case_0007.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	七、主变压器本体油箱外部螺栓发热
case_0008	case_0008.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	八、主变压器轻瓦斯动作报警
case_0009	case_0009.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	九、站用变压器低压侧中性线发热
case_0010	case_0010.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第一节 变压器异常处理	十、强油风冷变压器冷却器油流继电器挡板断裂
case_0011	case_0011.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	一、110kV 主变压器有载分接开关故障引起重瓦斯跳闸
case_0012	case_0012.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	二、110kV 主变压器 10kV 侧套管污闪引起差动跳闸
case_0013	case_0013.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	三、主变压器 110kV 侧中性点隔离开关烧坏
case_0014	case_0014.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	四、110kV 主变压器有载瓦斯接地跳闸
case_0015	case_0015.md	220kV及以下变电站设备异常和故障典型案例分析_第一章_变压器.md	第二节 变压器故障处理	五、主变压器 35kV 侧套管接地差动保护动作
case_0016	case_0016.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	一、220kV母线TV法兰渗油
