chunk_id,doc_id,chunk_type,asset_type,fault_type,slot_key,content,keywords,source_ref,priority,version
C000001,BRK_PLAN_20260410,template_clause,断路器,通用,template,为高效有序地处理{fault_type}，避免或最大限度地减轻{fault_type}及造成的经济损失，保障员工生命和企业财产安全，维护社会稳定，特编制本应急处置方案。,模板|1.1|编制目的,template_sections.csv,3,20260410
C000002,BRK_PLAN_20260410,template_clause,断路器,通用,template,《生产安全事故报告和调查处理条例》（国务院令第493号）；《生产经营单位安全生产事故应急预案编制导则》（GB/T 29639—2013）；《电力安全事故应急处置和调查处理条例》（国务院令第599号）；《电力企业应急预案管理办法》（国能安全〔2014〕508号）；《电力企业现场处置方案编制导则（试行）》；《电力安全工作规程》（发电厂和变电站电气部分）（GB 26860—2011）。,模板|1.2|编制依据,template_sections.csv,3,20260410
C000003,BRK_PLAN_20260410,template_clause,断路器,通用,template,本方案适用于{fault_type}的应急处置和应急救援工作。,模板|1.3|适用范围,template_sections.csv,3,20260410
C000004,BRK_PLAN_20260410,template_clause,断路器,通用,template,{fault_type}可能导致{fault_consequence}。,模板|2.1.1|危险性分析,template_sections.csv,3,20260410
C000005,BRK_PLAN_20260410,template_clause,断路器,通用,template,{fault_type}为{fault_level}。,模板|2.1.2|事件类型,template_sections.csv,3,20260410
C000006,BRK_PLAN_20260410,template_clause,断路器,通用,template,{fault_object}。,模板|2.2|事件可能发生的区域、地点和装置名称,template_sections.csv,3,20260410
C000007,BRK_PLAN_20260410,template_clause,断路器,通用,template,{fault_type}可能造成{fault_consequence}。,模板|2.3|事故可能造成的危害,template_sections.csv,3,20260410
C000008,BRK_PLAN_20260410,template_clause,断路器,通用,template,{precursor},模板|2.4|事前征兆,template_sections.csv,3,20260410
C000009,BRK_PLAN_20260410,template_clause,断路器,通用,template,{action_steps},模板|4.2|现场应急处置措施,template_sections.csv,3,20260410
C000010,BRK_PLAN_20260410,template_clause,断路器,通用,template,{safety_risk},模板|5.1|注意事项,template_sections.csv,3,20260410
C000011,BRK_PLAN_20260410,slot_fact,断路器,灭弧与介质状态故障,fault_object,灭弧与介质状态故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：灭弧与介质状态故障：高压断路器故障一级大类：灭弧与介质状态故障。,断路器|灭弧与介质状态故障|fault_object,关系_links.xlsx,4,20260410
C000012,BRK_PLAN_20260410,slot_fact,断路器,导电回路与开断故障,fault_object,导电回路与开断故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：导电回路与开断故障：高压断路器故障一级大类：导电回路与开断故障。,断路器|导电回路与开断故障|fault_object,关系_links.xlsx,4,20260410
C000013,BRK_PLAN_20260410,slot_fact,断路器,合分闸操作故障,fault_object,合分闸操作故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：合分闸操作故障：高压断路器故障一级大类：合分闸操作故障。,断路器|合分闸操作故障|fault_object,关系_links.xlsx,4,20260410
C000014,BRK_PLAN_20260410,slot_fact,断路器,操动机构与机械传动故障,fault_object,操动机构与机械传动故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：操动机构与机械传动故障：高压断路器故障一级大类：操动机构与机械传动故障。,断路器|操动机构与机械传动故障|fault_object,关系_links.xlsx,4,20260410
C000015,BRK_PLAN_20260410,slot_fact,断路器,操作能源与控制回路故障,fault_object,操作能源与控制回路故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：操作能源与控制回路故障：高压断路器故障一级大类：操作能源与控制回路故障。,断路器|操作能源与控制回路故障|fault_object,关系_links.xlsx,4,20260410
C000016,BRK_PLAN_20260410,slot_fact,断路器,继电保护与测量二次回路故障,fault_object,继电保护与测量二次回路故障可能发生于高压断路器本体及其灭弧室、绝缘支撑结构、操动机构、导电回路、控制与测量二次回路相关装置 相关定义：继电保护与测量二次回路故障：高压断路器故障一级大类：继电保护与测量二次回路故障。,断路器|继电保护与测量二次回路故障|fault_object,关系_links.xlsx,4,20260410
