case_id	import_file	source_file	source_section	case_title
case_0123	case_0123__案例一_雷电绕击造成架空输电线路故障.md	输变电设备典型故障_第一章.md	第二节 雷击故障典型案例	案例一 雷电绕击造成架空输电线路故障
case_0124	case_0124__案例二_绝缘子冰闪故障.md	输变电设备典型故障_第一章.md	第一节　架空输电线路故障概述	案例二 绝缘子冰闪故障
case_0125	case_0125__案例二_雷电反击造成架空输电线路故障.md	输变电设备典型故障_第一章.md	第一节　架空输电线路故障概述	案例二 雷电反击造成架空输电线路故障
case_0126	case_0126__案例一_导地线覆冰造成架空输电线路故障.md	输变电设备典型故障_第一章.md	第三节 覆冰故障典型案例	案例一 导地线覆冰造成架空输电线路故障
case_0127	case_0127__案例二_施工碰线造成架空输电线路外力故障.md	输变电设备典型故障_第一章.md	第五节　外力破坏故障典型案例	案例二 施工碰线造成架空输电线路外力故障
case_0128	case_0128__案例二_异物造成架空输电线路外力故障.md	输变电设备典型故障_第一章.md	第四节　风偏故障典型案例	案例二 异物造成架空输电线路外力故障
case_0130	case_0130__案例二_短路热容量不满足要求造成地线断线故障.md	输变电设备典型故障_第一章.md	第八节　其他典型故障案例	案例二 短路热容量不满足要求造成地线断线故障
case_0132	case_0132__案例一_鸟粪造成绝缘子闪络.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例一 鸟粪造成绝缘子闪络
case_0133	case_0133__案例四_运维原因造成雷击掉线故障.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例四 运维原因造成雷击掉线故障
case_0134	case_0134__案例五_施工质量原因造成线路导线掉线故障.md	输变电设备典型故障_第一章.md	第六节　鸟害故障典型案例	案例五 施工质量原因造成线路导线掉线故障
case_0153	case_0153__一、导地线覆冰过载引起倒塔故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第一节 覆冰故障	一、导地线覆冰过载引起倒塔故障
case_0154	case_0154__(二)导地线脱冰跳跃引起线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第一节 覆冰故障	（二）导地线脱冰跳跃引起线路故障
case_0155	case_0155__(一)导线舞动造成相间短路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第二节 舞动故障	（一）导线舞动造成相间短路故障
case_0156	case_0156__(二)导线舞动造成倒杆塔故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第二节 舞动故障	（二）导线舞动造成倒杆塔故障
case_0157	case_0157__(一)通道内树木安全距离不足引起线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第三节 交叉跨越故障	（一）通道内树木安全距离不足引起线路故障
case_0158	case_0158__(三)通道内车辆违章行驶造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第三节 交叉跨越故障	（三）通道内车辆违章行驶造成线路故障
case_0159	case_0159__一、雷击导线造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第四节 雷击故障	一、雷击导线造成线路故障
case_0160	case_0160__二、雷击地线造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第四节 雷击故障	二、雷击地线造成线路故障
case_0161	case_0161__(一)吊车碰线造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第五节 外力破坏故障	（一）吊车碰线造成线路故障
case_0162	case_0162__二、异物缠绕导线造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第五节 外力破坏故障	二、异物缠绕导线造成线路故障
case_0163	case_0163__一、导线制造工艺不良造成断线故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第六节 材料质量及出厂质量故障	一、导线制造工艺不良造成断线故障
case_0164	case_0164__二、生产工艺不良造成导线松股故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第六节 材料质量及出厂质量故障	二、生产工艺不良造成导线松股故障
case_0165	case_0165__(一)导线(直线)风偏距离不足造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第七节 风偏故障	（一）导线（直线）风偏距离不足造成线路故障
case_0166	case_0166__(二)引流线(耐张)风偏距离不足造成线路故障.md	输电线路典型故障案例分析及预防_第二章_导线及地线.md	第七节 风偏故障	（二）引流线（耐张）风偏距离不足造成线路故障
case_0174	case_0174__案例一_接触不良造成导线断线.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第五节 导线故障案例	案例一 接触不良造成导线断线
case_0175	case_0175__案例二_雷击造成导线断线.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第五节 导线故障案例	案例二 雷击造成导线断线
