case_id	import_file	source_file	source_section	case_title
case_0016	case_0016__一、220kV母线TV法兰渗油.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	一、220kV母线TV法兰渗油
case_0017	case_0017__二、110kV_线路抽压_TV_接线盒渗油.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	二、110kV 线路抽压 TV 接线盒渗油
case_0018	case_0018__三、220kV_电压互感器二次失压.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	三、220kV 电压互感器二次失压
case_0019	case_0019__四、35kV_母线_TV_高压熔断器熔断.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	四、35kV 母线 TV 高压熔断器熔断
case_0020	case_0020__五、110kV_线路抽压_TV_线鼻脱落故障.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	五、110kV 线路抽压 TV 线鼻脱落故障
case_0021	case_0021__六、220kV_线路电压异常不能同期合闸.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	六、220kV 线路电压异常不能同期合闸
case_0022	case_0022__七、110kV_母线_TV_二次电压降低.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第一节 电压互感器异常处理	七、110kV 母线 TV 二次电压降低
case_0023	case_0023__一、35kV母线TV故障.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第二节 电压互感器故障处理	一、35kV母线TV故障
case_0024	case_0024__二、110kV_电压互感器电磁绕组烧坏.md	220kV及以下变电站设备异常和故障典型案例分析_第三章_电压互感器.md	第二节 电压互感器故障处理	二、110kV 电压互感器电磁绕组烧坏
case_0025	case_0025__一、10kV_线路测量_TA_二次开路.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	一、10kV 线路测量 TA 二次开路
case_0026	case_0026__二、主变压器_10kV_侧计量_TA_二次开路.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	二、主变压器 10kV 侧计量 TA 二次开路
case_0027	case_0027__三、220kV_线路_TA_防雨罩接线盒锈蚀严重.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	三、220kV 线路 TA 防雨罩接线盒锈蚀严重
case_0028	case_0028__四、220kV_线路_TA_渗油.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	四、220kV 线路 TA 渗油
case_0029	case_0029__五、220kV_线路_TA_连接板螺丝断裂松脱.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第一节 电流互感器异常处理	五、220kV 线路 TA 连接板螺丝断裂松脱
case_0030	case_0030__一、220kV_线路_TA_末屏接地断线放电.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第二节 电流互感器故障处理	一、220kV 线路 TA 末屏接地断线放电
case_0031	case_0031__二、220kV_电流互感器放电烧损.md	220kV及以下变电站设备异常和故障典型案例分析_第二章_电流互感器.md	第二节 电流互感器故障处理	二、220kV 电流互感器放电烧损
case_0115	case_0115__4.1_某换流站_330kV_3371_断路器电流互感器_A_相爆炸故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.1 某换流站 330kV 3371 断路器电流互感器 A 相爆炸故障分析
case_0116	case_0116__4.2_某换流站斯尼汶特光电流互感器通道异常处理故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.2 某换流站斯尼汶特光电流互感器通道异常处理故障分析
case_0117	case_0117__4.3_某换流站极Ⅱ_$I_{_text{DNC}}$_异常故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.3 某换流站极Ⅱ $I_{\text{DNC}}$ 异常故障分析
case_0118	case_0118__4.4_某_330kV_变电站母差保护跳闸故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.4 某 330kV 变电站母差保护跳闸故障分析
case_0119	case_0119__4.5_某_110kV_变电站_110kV_电流互感器故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.5 某 110kV 变电站 110kV 电流互感器故障分析
case_0120	case_0120__4.6_某220kV变电站3号主变电流互感器设备故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.6 某220kV变电站3号主变电流互感器设备故障分析
case_0121	case_0121__4.7_某_330kV_变电站_3361_断路器电流互感器内部绝缘击穿故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.7 某 330kV 变电站 3361 断路器电流互感器内部绝缘击穿故障分析
case_0122	case_0122__4.8_某_500kV_变电站电流互感器复合绝缘外护套龟裂故障分析.md	电网设备故障典型案例_第4章_互感器故障典型案例.md		4.8 某 500kV 变电站电流互感器复合绝缘外护套龟裂故障分析
case_0172	case_0172__案例一_接线错误造成柱上电压互感器故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第四节 柱上电压互感器故障案例	案例一 接线错误造成柱上电压互感器故障
case_0173	case_0173__案例二_产品质量不良造成柱上电压互感器故障.md	配电网典型故障案例分析_第一章_配电网架空线路设备故障分析典型案例.md	第四节 柱上电压互感器故障案例	案例二 产品质量不良造成柱上电压互感器故障
