fact_id,asset_type,fault_type,slot_key,slot_value,priority,evidence_source,version
F00001,断路器,灭弧与介质状态故障,fault_object,灭弧与介质状态故障,3,关系_links.xlsx,20260410
F00002,断路器,导电回路与开断故障,fault_object,导电回路与开断故障,3,关系_links.xlsx,20260410
F00003,断路器,合分闸操作故障,fault_object,合分闸操作故障,3,关系_links.xlsx,20260410
F00004,断路器,操动机构与机械传动故障,fault_object,操动机构与机械传动故障,3,关系_links.xlsx,20260410
F00005,断路器,操作能源与控制回路故障,fault_object,操作能源与控制回路故障,3,关系_links.xlsx,20260410
F00006,断路器,继电保护与测量二次回路故障,fault_object,继电保护与测量二次回路故障,3,关系_links.xlsx,20260410
F00007,断路器,本体绝缘与支撑结构故障,fault_object,本体绝缘与支撑结构故障,3,关系_links.xlsx,20260410
F00008,断路器,灭弧与介质状态故障,knowledge_fact,灭弧与介质状态故障包含油断路器缺油故障,2,关系_links.xlsx,20260410
F00009,断路器,灭弧与介质状态故障,knowledge_fact,油断路器缺油故障起因于油断路器缺油故障-故障原因,2,关系_links.xlsx,20260410
F00010,断路器,灭弧与介质状态故障,precursor,油断路器缺油故障-故障原因表现油断路器缺油故障-故障现象,4,关系_links.xlsx,20260410
F00011,断路器,灭弧与介质状态故障,knowledge_fact,油断路器缺油故障处置油断路器缺油故障-应对措施,2,关系_links.xlsx,20260410
F00012,断路器,灭弧与介质状态故障,fault_consequence,油断路器缺油故障-故障后果,5,关系_links.xlsx,20260410
F00013,断路器,灭弧与介质状态故障,knowledge_fact,油断路器缺油故障-应对措施存在油断路器缺油故障-安全风险,2,关系_links.xlsx,20260410
F00014,断路器,灭弧与介质状态故障,knowledge_fact,油断路器缺油故障-应对措施需要油断路器缺油故障-应急资源,2,关系_links.xlsx,20260410
F00015,断路器,灭弧与介质状态故障,knowledge_fact,灭弧与介质状态故障包含空气断路器气压降低故障,2,关系_links.xlsx,20260410
F00016,断路器,灭弧与介质状态故障,knowledge_fact,空气断路器气压降低故障起因于空气断路器气压降低故障-故障原因,2,关系_links.xlsx,20260410
F00017,断路器,灭弧与介质状态故障,precursor,空气断路器气压降低故障-故障原因表现空气断路器气压降低故障-故障现象,4,关系_links.xlsx,20260410
F00018,断路器,灭弧与介质状态故障,knowledge_fact,空气断路器气压降低故障处置空气断路器气压降低故障-应对措施,2,关系_links.xlsx,20260410
F00019,断路器,灭弧与介质状态故障,fault_consequence,空气断路器气压降低故障-故障后果,5,关系_links.xlsx,20260410
F00020,断路器,灭弧与介质状态故障,knowledge_fact,空气断路器气压降低故障-应对措施存在空气断路器气压降低故障-安全风险,2,关系_links.xlsx,20260410
F00021,断路器,灭弧与介质状态故障,knowledge_fact,空气断路器气压降低故障-应对措施需要空气断路器气压降低故障-应急资源,2,关系_links.xlsx,20260410
F00022,断路器,灭弧与介质状态故障,knowledge_fact,灭弧与介质状态故障包含六氟化硫介质泄漏故障,2,关系_links.xlsx,20260410
F00023,断路器,灭弧与介质状态故障,knowledge_fact,六氟化硫介质泄漏故障起因于六氟化硫介质泄漏故障-故障原因,2,关系_links.xlsx,20260410
F00024,断路器,灭弧与介质状态故障,precursor,六氟化硫介质泄漏故障-故障原因表现六氟化硫介质泄漏故障-故障现象,4,关系_links.xlsx,20260410
F00025,断路器,灭弧与介质状态故障,knowledge_fact,六氟化硫介质泄漏故障处置六氟化硫介质泄漏故障-应对措施,2,关系_links.xlsx,20260410
F00026,断路器,灭弧与介质状态故障,fault_consequence,六氟化硫介质泄漏故障-故障后果,5,关系_links.xlsx,20260410
F00027,断路器,灭弧与介质状态故障,knowledge_fact,六氟化硫介质泄漏故障-应对措施存在六氟化硫介质泄漏故障-安全风险,2,关系_links.xlsx,20260410
F00028,断路器,灭弧与介质状态故障,knowledge_fact,六氟化硫介质泄漏故障-应对措施需要六氟化硫介质泄漏故障-应急资源,2,关系_links.xlsx,20260410
