case_id	import_file	source_file	source_section	case_title
case_0186	case_0186__案例一_老化造成10kV油纸电缆故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第二节 电缆本体典型故障案例	案例一 老化造成10kV油纸电缆故障
case_0187	case_0187__案例二_产品质量问题造成_10kV_电缆故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第二节 电缆本体典型故障案例	案例二 产品质量问题造成 10kV 电缆故障
case_0188	case_0188__案例三_严重弯曲造成_10kV_电缆故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第二节 电缆本体典型故障案例	案例三 严重弯曲造成 10kV 电缆故障
case_0189	case_0189__案例四_受力变形造成_10kV_电缆故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第二节 电缆本体典型故障案例	案例四 受力变形造成 10kV 电缆故障
case_0190	case_0190__案例一_防水密封处理不良造成_10kV_电缆中间接头故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第三节 电缆中间接头故障典型案例	案例一 防水密封处理不良造成 10kV 电缆中间接头故障
case_0191	case_0191__案例二：过度弯曲造成_10kV_电缆中间接头故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第三节 电缆中间接头故障典型案例	案例二：过度弯曲造成 10kV 电缆中间接头故障
case_0192	case_0192__案例三_应力锥安装错位造成电缆中间接头故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第三节 电缆中间接头故障典型案例	案例三 应力锥安装错位造成电缆中间接头故障
case_0193	case_0193__案例四_主绝缘打磨粗糙造成电缆中间接头故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第三节 电缆中间接头故障典型案例	案例四 主绝缘打磨粗糙造成电缆中间接头故障
case_0194	case_0194__案例一_主绝缘严重割伤造成电缆终端故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第四节 电缆终端故障典型案例	案例一 主绝缘严重割伤造成电缆终端故障
case_0195	case_0195__案例二_主绝缘划伤造成电缆终端故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第四节 电缆终端故障典型案例	案例二 主绝缘划伤造成电缆终端故障
case_0196	case_0196__案例三_老化造成热缩电缆终端故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第四节 电缆终端故障典型案例	案例三 老化造成热缩电缆终端故障
case_0197	case_0197__案例四_电场控制不良造成热缩型电缆终端故障.md	配电网典型故障案例分析_第二章_配电电缆线路设备故障分析典型案例.md	第四节 电缆终端故障典型案例	案例四 电场控制不良造成热缩型电缆终端故障
