case_id	import_file	source_file	source_section	case_title
case_0032	case_0032__一、220kV断路器弹簧机构不储能.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	一、220kV断路器弹簧机构不储能
case_0033	case_0033__二、110kV_线路断路器气动机构异常.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	二、110kV 线路断路器气动机构异常
case_0034	case_0034__三、10kV_线路断路器弹簧机构不储能.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	三、10kV 线路断路器弹簧机构不储能
case_0035	case_0035__四、10kV_真空断路器缓冲块脱落.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	四、10kV 真空断路器缓冲块脱落
case_0036	case_0036__五、110kV_断路器液压机构渗油.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	五、110kV 断路器液压机构渗油
case_0037	case_0037__六、110kV_线路弹簧机构跳闸线圈烧坏.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	六、110kV 线路弹簧机构跳闸线圈烧坏
case_0038	case_0038__七、液压机构电机碳刷脱位.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	七、液压机构电机碳刷脱位
case_0039	case_0039__八、气动机构空气压力降低闭锁.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第一节 断路器异常处理	八、气动机构空气压力降低闭锁
case_0040	case_0040__一、6kV_少油断路器爆炸.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	一、6kV 少油断路器爆炸
case_0041	case_0041__二、10kV手车断路器触头发热故障.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	二、10kV手车断路器触头发热故障
case_0042	case_0042__三、10kV_开关柜套管发热.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	三、10kV 开关柜套管发热
case_0043	case_0043__四、110kV_少油断路器爆炸.md	220kV及以下变电站设备异常和故障典型案例分析_第四章_断路器.md	第二节 断路器故障处理	四、110kV 少油断路器爆炸
case_0094	case_0094__2.1_某换流站800kV罐式断路器绝缘拉杆爆裂故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.1 某换流站800kV罐式断路器绝缘拉杆爆裂故障分析
case_0095	case_0095__2.2_某_750kV_变电站_800kV_罐式断路器碟簧机构传动轴断裂故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.2 某 750kV 变电站 800kV 罐式断路器碟簧机构传动轴断裂故障分析
case_0096	case_0096__2.3_某_750kV_变电站_7530_断路器绝缘拉杆故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.3 某 750kV 变电站 7530 断路器绝缘拉杆故障分析
case_0097	case_0097__2.4_某_500kV_变电站_5023_断路器瓷套缺陷导致套管爆裂故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.4 某 500kV 变电站 5023 断路器瓷套缺陷导致套管爆裂故障分析
case_0098	case_0098__2.5_某_500kV_变电站_220kV_断路器内部放电故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.5 某 500kV 变电站 220kV 断路器内部放电故障分析
case_0099	case_0099__2.6_某500kV变电站500kV断路器套管爆裂故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.6 某500kV变电站500kV断路器套管爆裂故障分析
case_0100	case_0100__2.8_某330kV变电站1号所变断路器保护误动故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.8 某330kV变电站1号所变断路器保护误动故障分析
case_0101	case_0101__2.9_某330kV变电站断路器分闸时间异常故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.9 某330kV变电站断路器分闸时间异常故障分析
case_0102	case_0102__2.10_某220kV变电站220kV断路器保护控制回路故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.10 某220kV变电站220kV断路器保护控制回路故障分析
case_0103	case_0103__2.11_某_110kV_变电站_110kV_断路器传动机构部件异常故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.11 某 110kV 变电站 110kV 断路器传动机构部件异常故障分析
case_0104	case_0104__2.12_某_110kV_变电站_110kV_断路器电动机控制及保护回路故障分析.md	电网设备故障典型案例_第2章_断路器（不含开关柜）故障典型案例.md		2.12 某 110kV 变电站 110kV 断路器电动机控制及保护回路故障分析
